,TICKET_CARRIER,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,avg_price_0,avg_price_1,avg_price_2,avg_price_3,tot_passengers_0,tot_passengers_1,tot_passengers_2,tot_passengers_3,avg_dist_0,avg_dist_1,avg_dist_2,avg_dist_3,Airline.nane_0,tot_passengers_sqr_0,tot_passengers_sqr_1,tot_passengers_sqr_2,tot_passengers_sqr_3,QUARTER_0,avg_dist_sqr_0,avg_dist_sqr_1,avg_dist_sqr_2,avg_dist_sqr_3,AIRLINE_ID_0,Period_0,ID_0
8,7H,10299,10170,200.0,241.99,208.777777777778,235.9525,1,5,10,8,253.0,253.0,253.0,253.0,0,1.0,25.0,100.0,64.0,1,64009.0,64009.0,64009.0,64009.0,1,0,142
9,7H,10299,11630,188.25,135.4,158.833333333333,127.25,10,13,3,2,261.0,261.0,261.0,261.0,0,100.0,169.0,9.0,4.0,1,68121.0,68121.0,68121.0,68121.0,1,0,163
11,7H,11630,10299,162.928571428571,151.0,182.0,83.0,8,15,1,1,261.0,261.0,261.0,261.0,0,64.0,225.0,1.0,1.0,1,68121.0,68121.0,68121.0,68121.0,1,0,2703
15,9K,14843,15027,121.8225,158.978333333333,143.0,133.5,8,8,4,4,94.0,94.0,94.0,94.0,0,64.0,64.0,16.0,16.0,1,8836.0,8836.0,8836.0,8836.0,2,0,7511
16,9K,15024,14843,122.083333333333,118.0,106.62625,108.318181818182,6,12,8,11,68.0,68.0,68.0,68.0,0,36.0,144.0,64.0,121.0,1,4624.0,4624.0,4624.0,4624.0,2,0,7900
17,9K,15027,14843,76.6233333333333,108.8425,149.5,176.78,3,4,1,2,94.0,94.0,94.0,94.0,0,9.0,16.0,1.0,4.0,1,8836.0,8836.0,8836.0,8836.0,2,0,7918
19,AA,10135,11057,151.0,295.92,309.147142857143,238.255714285714,1,1,15,15,481.0,481.0,529.142857142857,512.142857142857,American Airlines,1.0,1.0,225.0,225.0,1,231361.0,231361.0,279992.163265306,262290.306122449,4,1,2
27,AA,10135,13930,241.0,260.778,270.695555555556,408.881428571429,1,5,9,7,733.0,941.2,810.111111111111,782.571428571429,American Airlines,1.0,25.0,81.0,49.0,1,537289.0,885857.44,656280.012345679,612418.040816327,4,1,10
30,AA,10140,10397,222.144242424242,235.029120879121,295.669047619048,275.554027777778,78,100,72,99,1300.0,1309.31868131868,1320.4126984127,1317.95833333333,American Airlines,6084.0,10000.0,5184.0,9801.0,1,1690000.0,1714315.40925009,1743489.6941295,1737014.16840278,4,1,16
31,AA,10140,10423,198.014854368932,250.763723404255,261.549803921569,239.771460674157,244,98,118,115,759.0,759.0,763.323529411765,759.0,American Airlines,59536.0,9604.0,13924.0,13225.0,1,576081.0,576081.0,582662.810553633,576081.0,4,1,17
32,AA,10140,10529,287.862916666667,300.593666666667,311.572962962963,352.778,24,30,27,32,2040.0,2033.43333333333,2030.96296296296,2032.0,American Airlines,576.0,900.0,729.0,1024.0,1,4161600.0,4134851.12111111,4124810.5569273,4129024.0,4,1,18
33,AA,10140,10693,250.116805555556,287.28397260274,286.571206896552,318.058363636364,102,83,65,63,1200.0,1204.47945205479,1205.63793103448,1250.83636363636,American Airlines,10404.0,6889.0,4225.0,3969.0,1,1440000.0,1450770.75042222,1453562.82074911,1564591.60859504,4,1,19
34,AA,10140,10721,274.351666666667,309.417142857143,318.37452991453,313.829739130435,154,120,119,132,2126.56060606061,2117.14285714286,2167.24786324786,2178.75652173913,American Airlines,23716.0,14400.0,14161.0,17424.0,1,4522260.01124885,4482293.87755102,4696963.30075243,4746979.98102079,4,1,20
35,AA,10140,10821,232.278181818182,291.43,281.739411764706,293.693888888889,82,37,38,21,1785.30303030303,1786.0,1786.0,1877.88888888889,American Airlines,6724.0,1369.0,1444.0,441.0,1,3187306.91000918,3189796.0,3189796.0,3526466.67901235,4,1,21
36,AA,10140,10994,448.0,321.835,285.75,312.795714285714,4,6,6,7,1556.0,1614.5,1556.0,1556.0,American Airlines,16.0,36.0,36.0,49.0,1,2421136.0,2606610.25,2421136.0,2421136.0,4,1,22
37,AA,10140,11042,354.2,253.132631578947,263.180833333333,357.317857142857,16,19,26,30,1580.1875,1590.0,1577.0,1593.46428571429,American Airlines,256.0,361.0,676.0,900.0,1,2496992.53515625,2528100.0,2486929.0,2539128.42984694,4,1,23
38,AA,10140,11057,329.979777777778,281.407884615385,237.3434,279.233611111111,60,54,121,83,1505.02222222222,1574.34615384615,1563.09,1602.11111111111,American Airlines,3600.0,2916.0,14641.0,6889.0,1,2265091.88938272,2478565.81213018,2443250.3481,2566760.01234568,4,1,24
39,AA,10140,11066,252.968518518519,288.79,276.3546875,331.661290322581,30,37,34,36,1489.0,1515.52941176471,1489.9375,1524.83870967742,American Airlines,900.0,1369.0,1156.0,1296.0,1,2217121.0,2296829.39792388,2219913.75390625,2325133.0905307,4,1,25
40,AA,10140,11193,361.989166666667,342.861666666667,426.783333333333,279.970909090909,13,30,12,11,1381.0,1381.2,1477.83333333333,1381.0,American Airlines,169.0,900.0,144.0,121.0,1,1907161.0,1907713.44,2183991.36111111,1907161.0,4,1,26
41,AA,10140,11267,304.011176470588,355.5175,286.99,330.053333333333,43,38,24,36,1422.79411764706,1422.0,1430.0,1433.30303030303,American Airlines,1849.0,1444.0,576.0,1296.0,1,2024343.10121107,2022084.0,2044900.0,2054357.57667585,4,1,27
42,AA,10140,11278,304.518361581921,329.791712707182,307.692655367232,287.206093023256,225,203,194,311,1762.73446327684,1762.83425414365,1776.24293785311,1787.57209302326,American Airlines,50625.0,41209.0,37636.0,96721.0,1,3107232.78802388,3107584.60758219,3155038.97427304,3195413.98775554,4,1,28
43,AA,10140,11298,202.860509383378,250.6861875,205.00691292876,234.542435424354,849,522,811,606,569.0,569.0,569.0,569.0,American Airlines,720801.0,272484.0,657721.0,367236.0,1,323761.0,323761.0,323761.0,323761.0,4,1,30
44,AA,10140,11433,294.931,335.5555,300.642884615385,274.960892857143,49,42,55,63,1555.0,1534.8,1535.57692307692,1527.05357142857,American Airlines,2401.0,1764.0,3025.0,3969.0,1,2418025.0,2355611.04,2357996.48668639,2331892.61001275,4,1,31
45,AA,10140,11618,271.2356,321.347321428571,290.62262295082,331.163,104,60,68,62,1936.84,1941.80357142857,1951.26229508197,1925.4,American Airlines,10816.0,3600.0,4624.0,3844.0,1,3751349.1856,3770601.11001275,3807424.54420855,3707165.16,4,1,32
46,AA,10140,11697,263.844301075269,288.251818181818,312.122903225806,258.74953125,149,68,73,68,1688.0,1697.27272727273,1705.11290322581,1722.953125,American Airlines,22201.0,4624.0,5329.0,4624.0,1,2849344.0,2880734.7107438,2907410.01274714,2968567.47094727,4,1,33
47,AA,10140,12173,659.524285714286,386.555714285714,442.62,447.12619047619,9,9,46,71,4193.0,3259.42857142857,3242.58139534884,3252.65079365079,American Airlines,81.0,81.0,2116.0,5041.0,1,17581249.0,10623874.6122449,10514334.1054624,10579737.1854371,4,1,34
48,AA,10140,12217,318.632727272727,350.058125,295.333333333333,297.21,12,16,9,18,1213.45454545455,1213.625,1172.0,1172.0,American Airlines,144.0,256.0,81.0,324.0,1,1472471.9338843,1472885.640625,1373584.0,1373584.0,4,1,35
49,AA,10140,12264,369.563888888889,286.51725,345.281315789474,314.48220338983,59,54,51,73,1741.0,1741.0,1743.26315789474,1757.20338983051,American Airlines,3481.0,2916.0,2601.0,5329.0,1,3031081.0,3031081.0,3038966.43767313,3087763.75323183,4,1,36
50,AA,10140,12266,219.343035714286,247.923793103448,259.261470588235,315.6372,68,29,39,27,793.0,793.0,793.0,793.0,American Airlines,4624.0,841.0,1521.0,729.0,1,628849.0,628849.0,628849.0,628849.0,4,1,37
51,AA,10140,12339,215.810545454545,285.093529411765,363.108611111111,280.078,80,52,42,41,1326.81818181818,1324.50980392157,1327.08333333333,1328.0,American Airlines,6400.0,2704.0,1764.0,1681.0,1,1760446.48760331,1754326.22068435,1761150.17361111,1763584.0,4,1,38
52,AA,10140,12451,273.844358974359,301.075517241379,310.306666666667,292.808235294118,43,30,25,39,1511.66666666667,1487.0,1555.45833333333,1487.0,American Airlines,1849.0,900.0,625.0,1521.0,1,2285136.11111111,2211169.0,2419450.62673611,2211169.0,4,1,39
53,AA,10140,12478,266.272692307692,178.696,329.1809375,283.840930232558,27,5,40,48,2025.88461538462,2218.4,2269.59375,1948.62790697674,American Airlines,729.0,25.0,1600.0,2304.0,1,4104208.47485207,4921298.56,5151055.79003906,3797150.71984857,4,1,40
54,AA,10140,12892,129.935,184.384615384615,188.708519637462,215.467491961415,2,14,714,686,677.0,678.615384615385,678.395770392749,680.112540192926,American Airlines,4.0,196.0,509796.0,470596.0,1,458329.0,460518.840236686,460220.821286772,462553.067327674,4,1,41
